ID,Variable,Target Value,Unit,Target Year,Description / Source Summary,Citation/Link
1,Cropland Needed (Land),?15,% of global ice-free land,—,Planetary Boundary – Land-System Change; maintain cropland area below ~15% of global ice-free land to preserve biosphere integrity. (Rockström et al. 2009; Steffen et al. 2015),Stockholm Resilience Centre — Planetary Boundaries: Land-system change (?15% cropland). https://www.stockholmresilience.org/research/planetary-boundaries/quantitative-evolution-of-boundaries.html
2,GHG Emissions from AFOLU (Climate),7–11,Gt CO?-eq yr?¹ mitigation potential,2030,IPCC AR6 & 1.5°C pathways; AFOLU must deliver ~7–11 Gt CO?-eq yr?¹ mitigation to align with 1.5 °C,IPCC AR5 WGIII Chapter 11 — AFOLU Mitigation Potential (7–11 Gt CO?-eq yr?¹). https://www.ipcc.ch/site/assets/uploads/2018/02/ipcc_wg3_ar5_chapter11.pdf
,,,,2050,,
3,Nitrogen Application Rate (Fertilizer),35 – 62,Tg N yr?¹ (global anthropogenic fixation),—,Planetary Boundary for Biogeochemical Flows; upper safe limit for human perturbation of N cycle (Rockström et al. 2009; Richardson et al. 2023).,Richardson et al. 2023 — Updated Planetary Boundary for Nitrogen (?62 Tg N yr?¹). https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10499318/
4,Biodiversity Intactness,60,%,2030,"""Ensure urgent management actions to halt human induced extinction of known threatened species and for the recovery and conservation of species"" Target 4, 2030",Kunming-Montreal Global Biodiversity Framework https://www.cbd.int/gbf/goals
,,75,%,2050,"""Human induced extinction of known threatened species is halted, and, by 2050, the extinction rate and risk of all species are reduced tenfold and the abundance of native wild species is increased to healthy and resilient levels""",Kunming-Montreal Global Biodiversity Framework https://www.cbd.int/gbf/goals
5,Freshwater Withdrawal for Food (Water),?4 000,km³ yr?¹ (global consumptive use),—,Planetary Boundary – Freshwater Change; keep total global consumptive freshwater use within ~4 000 km³ yr?¹ to stay in the safe operating space.,Gerten et al. 2020 — Revisiting Planetary Boundary for Freshwater Change (~4 000 km³ yr?¹). https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019ef001377
,,,,,,
6,Undernourishment Rate (Nutrition),0,%,2030," “By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.”", https://www.un.org/sustainabledevelopment/hunger/
